LGA_NAME21,Region
Albury,Regional
Armidale Regional,Regional
Ballina,Regional
Balranald,Regional
Bathurst Regional,Regional
Bayside (NSW),Sydney
Bega Valley,Regional
Bellingen,Regional
Berrigan,Regional
Blacktown,Sydney
Bland,Regional
Blayney,Regional
Blue Mountains,Regional
Bogan,Regional
Bourke,Regional
Brewarrina,Regional
Broken Hill,Regional
Burwood,Sydney
Byron,Regional
Cabonne,Regional
Camden,Sydney
Campbelltown (NSW),Sydney
Canada Bay,Sydney
Canterbury-Bankstown,Sydney
Carrathool,Regional
Central Coast (NSW),Regional
Central Darling,Regional
Cessnock,Regional
Clarence Valley,Regional
Cobar,Regional
Coffs Harbour,Regional
Coolamon,Regional
Coonamble,Regional
Cootamundra-Gundagai Regional,Regional
Cowra,Regional
Cumberland,Sydney
Dubbo Regional,Regional
Dungog,Regional
Edward River,Regional
Eurobodalla,Regional
Fairfield,Sydney
Federation,Regional
Forbes,Regional
Georges River,Sydney
Gilgandra,Regional
Glen Innes Severn,Regional
Goulburn Mulwaree,Regional
Greater Hume Shire,Regional
Griffith,Regional
Gunnedah,Regional
Gwydir,Regional
Hawkesbury,Regional
Hay,Regional
Hilltops,Regional
Hornsby,Sydney
Hunters Hill,Sydney
Inner West,Sydney
Inverell,Regional
Junee,Regional
Kempsey,Regional
Kiama,Regional
Ku-ring-gai,Sydney
Kyogle,Regional
Lachlan,Regional
Lake Macquarie,Regional
Lane Cove,Sydney
Leeton,Regional
Lismore,Regional
Lithgow,Regional
Liverpool,Sydney
Liverpool Plains,Regional
Lockhart,Regional
Maitland,Regional
Mid-Coast,Regional
Mid-Western Regional,Regional
Moree Plains,Regional
Mosman,Sydney
Murray River,Regional
Murrumbidgee,Regional
Muswellbrook,Regional
Nambucca Valley,Regional
Narrabri,Regional
Narrandera,Regional
Narromine,Regional
Newcastle,Regional
North Sydney,Sydney
Northern Beaches,Sydney
Oberon,Regional
Orange,Regional
Parkes,Regional
Parramatta,Sydney
Penrith,Sydney
Port Macquarie-Hastings,Regional
Port Stephens,Regional
Queanbeyan-Palerang Regional,Regional
Randwick,Sydney
Richmond Valley,Regional
Ryde,Sydney
Shellharbour,Regional
Shoalhaven,Regional
Singleton,Regional
Snowy Monaro Regional,Regional
Snowy Valleys,Regional
Strathfield,Sydney
Sutherland Shire,Sydney
Sydney,Sydney
Tamworth Regional,Regional
Temora,Regional
Tenterfield,Regional
The Hills Shire,Sydney
Tweed,Regional
Upper Hunter Shire,Regional
Upper Lachlan Shire,Regional
Uralla,Regional
Wagga Wagga,Regional
Walcha,Regional
Walgett,Regional
Warren,Regional
Warrumbungle Shire,Regional
Waverley,Sydney
Weddin,Regional
Wentworth,Regional
Willoughby,Sydney
Wingecarribee,Regional
Wollondilly,Regional
Wollongong,Regional
Woollahra,Sydney
Yass Valley,Regional
Unincorporated NSW,Regional
No usual address (NSW),Regional
Migratory - Offshore - Shipping (NSW),Regional
